question;answer_A;answer_B;answer_C;answer_D;answer_E;id
Which tumor marker is valuable for screening, diagnosis, prognosis, and monitoring of the cancer for which it is specific? (1 response);"Forse ti riferisci a un contesto specifico in cui ""Ace"" viene utilizzato in francese. Tuttavia, ""Ace"" non è una parola francese; è in realtà una parola inglese usata in vari contesti, tra cui giochi di carte e sport, per indicare l'eccellenza o un colpo vincente. Se hai un contesto medico o un altro uso specifico in mente, ti pregherei di fornire ulteriori dettagli per offrirti una traduzione accurata.";"Il termine ""Psa"" potrebbe riferirsi a ""PSA,"" che in ambito medico sta per ""Antigène Prostatique Spécifique"" in francese, tradotto in inglese come ""Prostate-Specific Antigen.""";"The term ""Alpha fp"" in French refers to ""Alpha-fetoprotein"" in English. Alpha-fetoprotein is a plasma protein that is typically produced by the fetal liver, yolk sac, and gastrointestinal tract. In medical contexts, it is often used as a biomarker in maternal blood screening and in the detection and monitoring of certain types of liver cancer.";"""HCG""";"“CA-125""";49
"'Within the framework of the law of February 2, 2016, known as the ""Claeys-Leonetti law"", when a patient can no longer express themselves, a treatment that appears unnecessary, disproportionate, or when it has no other effect than solely maintaining artificial life, can be suspended following a collegial procedure defined by regulatory means. What element(s) is (are) provided for in this procedure?'";A consultation of advance directives if they exist.;"""The opinion of at least one consulting physician""";A discussion with the members of the care team present.;'Information from the on-call director if this procedure takes place over the weekend';"""The decision must be recorded in the medical record.""";50
"""Upon which means does the evaluation of the qualitative dimension of pain rely?""";'DN4 Questionnaire';'Doloplus questionnaire';Algoplus scale;'Visual analogue scale';Numeric scale'.;51
'By what therapeutic means can neuropathic pain be managed as a first-line treatment?';A tricyclic antidepressant;'An antiepileptic from the gabapentinoid class';The morphine;Transcutaneous electrical stimulation;"""Medullary Stimulation""";52
A 55-year-old patient is being cared for in a palliative care unit for the terminal progression of respiratory failure complicating severe emphysema. His main complaint is an increase in his dyspnea. How should this dyspnea be managed? (one or more correct answer(s));'Evaluation of the symptom using a visual analogue scale';Adaptation of oxygen therapy flow to ensure arterial oxygen saturation is above 95%;"""Introduction or escalation of opioid therapy""";'Comfortable positioning of the patient';"""Deep and continuous sedation from the outset until death""";53
A type of weight loss surgery such as sleeve gastrectomy may be proposed (one or more correct answers):;In adolescents aged 15 and over, if the BMI is greater than 40 kg/m²;In a 55-year-old patient, equipped for sleep apnea, with a BMI ≥ 35 kg/m².;"""In cases of severe eating behavior disorders""";If the subject has understood and accepted the lifelong medical and surgical post-operative follow-up;If the patient has received clear and complete information about the surgical risks;54
A 52-year-old patient with no significant medical history presents with hypertension, proteinuria of 2 g/24h, hematuria at 105 red blood cells/ml, and serum creatinine at 130 µmol/l. His bladder-kidney ultrasound is normal. Here is the report from his kidney biopsy: cortical fragment including 15 glomeruli, 4 of which are sclerotic. The patent glomeruli show mesangial and endocapillary proliferation. Moderate arteriolosclerosis lesions. Tubular atrophy and interstitial fibrosis affecting approximately 20% of the parenchyma. Immunofluorescence reveals IgA deposits at +++ in the mesangium and C3 at 1+ in the vessels and glomeruli. What are the possible diagnosis/diagnoses?;'Tubulointerstitial nephropathy';Class IV lupus nephritis;"""Pauci-immune glomerulonephritis""";IgA nephropathy;'Néphroangiosclérose' si traduce in inglese come 'nephroangiosclerosis'.;55
"""What factors indicate the occupational origin of allergic contact dermatitis in a plastics worker involved in the manufacturing of pleasure boats (one or more possible answers)?""";"""The symptomatology that improves during vacations""";A location of the lesions on the back of the hands and wrists.;'The presence of multiple simultaneous cases in the same workshop';'History of atopy in childhood';"""The presence of lesions on the eyelids""";56
Young general practitioner, you are seeing a 52-year-old patient for the first time who complains of insomnia, anxious rumination, a loss of vital drive, and disengagement from family and professional activities. He indicates that his symptoms appeared six months ago, following the arrival of a new team leader who constantly comments on his slowness at work and lack of intellectual abilities. He even reports insults directed at him on several occasions when he was alone with his supervisor. This patient has no notable medical history, except for a reactive depression following a divorce 10 years ago. The patient is asking you to make a declaration of an occupational disease. What should you indicate on the initial medical certificate?;The existence of a depressive syndrome;The date on which you first identified the pathology.;'History of depressive syndrome';The existence of harassment by a colleague;"""The name of the department head""";57
A 12-year-old patient is admitted to the pediatric emergency department for a meningeal syndrome. A nursing assistant settles him in an examination room, and the nurse comes to take his temperature and blood pressure. The intern then examines the child and suspects an invasive meningococcal infection, which will be confirmed by the analysis of the cerebrospinal fluid (meningococcus C). The nurse, who is 30 years old, approaches the intern, expressing concern because she is pregnant and asks what she should do since she attended to the child without a mask and is not vaccinated against meningococcus. What measure(s) should be offered to her?;A vaccination with the conjugate meningococcal vaccine;'Prophylaxis with oral rifampicin for 5 days';"""Prophylaxis with oral rifampicin for 2 days""";'Reassure her and inform her that there is no risk of contamination.';'Prophylaxis with an injection of ceftriaxone';58
What hygiene measures should be taken upon entering the room when caring for a patient with pulmonary tuberculosis?;'Wearing a long-sleeved gown';"""Wearing a respiratory protective mask (FFP2 type)""";"""Wearing a hairnet""";"""Wearing of overshoes""";'Friction of hands with a hydroalcoholic solution';59
What are the mandatory vaccinations for a nurse working in a hospital care unit (one or more answers possible)?;'Pneumococcal vaccination';'Vaccination against diphtheria, tetanus, and poliomyelitis';Vaccination against hepatitis A;Whooping cough vaccination;'Hepatitis B vaccination';60
Regarding acute peritonitis, which proposition(s) do you consider?;The abdominal CT scan is the reference morphological examination for diagnosis.;The surgical treatment must include a lavage of the peritoneal cavity.;The 3 most common causes are appendicitis, gastro-duodenal ulcer, and colonic diverticulum.;The evolutionary risk of peritonitis is septic shock.;Peritonitis is always associated with a gastrointestinal perforation.;61
Regarding acute intestinal obstruction, which information is accurate?;A functional obstruction may be caused by an electrolyte imbalance.;A peritoneal band can lead to an obstruction by strangulation.;'Strangulation obstruction threatens the viability of the intestine within a few hours';The abdominal CT scan with contrast injection is the reference examination.;Colon cancer is the leading cause of colonic obstruction by blockage.;62
'Regarding the obstructive syndrome: (one or more correct answers)';"""The absence of bowel movements is a physical sign missing in 30% of cases.""";"""Abdominal pain is always the initial symptom.""";"""The location of the abdominal pain indicates the site of the obstruction.""";Repeated and frequent vomiting temporarily relieves abdominal pain in small bowel obstructions.;"""The cessation of gas passage is the primary functional sign for diagnosis.""";63
Mr. M, a 58-year-old patient, has been referred to you for abnormalities in his iron profile. In his medical history, there is only a mention of diabetes diagnosed 3 months ago. During the clinical examination, his temperature is 37.3 °C. You note hepatomegaly estimated at 5 cm below the right costal margin. His iron profile is presented to you below: transferrin saturation coefficient (TSC) at 62%, ferritin at 1200 ng/ml (normal range 30 to 300 ng/ml). Among the following propositions, which of the following causes could explain the abnormalities in the iron profile presented in this clinical context?;'Inflammatory syndrome';'Dysmetabolic hepatosiderosis';'Genetic hemochromatosis';"""Myelodysplasia""";Macrophage activation syndrome;64
'During the admission of a polytraumatized patient in severe hemorrhagic shock (one or more correct answers):';"""A full-body scan is essential and must be performed urgently.""";A quick bedside ultrasound is sufficient to confirm hemoperitoneum.;An emergency laparotomy is indicated to confirm the abdominal origin of the hemorrhagic shock.;"In the case of massive hemoperitoneum, the ""damage control"" technique is the reference technique.";"The ""damage control"" technique aims to control bleeding and simultaneously treat digestive injuries.";65
Mr. M., a 22-year-old man, presents to the emergency department due to fatigue associated with a fever of 39°C that has been persisting for 72 hours. He complains of odynophagia and diffuse myalgias. On clinical examination, you find cervical lymphadenopathy and splenomegaly measuring a fingerbreadth. A blood workup was conducted externally and shows the following results: hemoglobin 13.2 g/dl, mean corpuscular volume (MCV) 89 fl, platelets 120 g/l, leukocytes 10.6 g/l, neutrophils 1.6 g/l, basophils 0.1 g/l, eosinophils 0.4 g/l, lymphocytes 8 g/l, monocytes 0.5 g/l. Blood smear: presence of numerous large lymphocytes with hyper-basophilic cytoplasm. Among the following additional tests, which one(s) seem appropriate to perform as first-line investigations in this clinical context?;"""Myelogram""";'Lymphocyte immunophenotyping';"""p24 Antigenemia""";Mi dispiace, ma il testo che hai fornito sembra incompleto. Potresti fornire il testo completo o correggerlo?;"""Serology of cytomegalovirus (CMV)""";66
"A patient presents with claudication for a distance evaluated at 400 meters, which manifests as pain in the right calf. Upon clinical examination you note:

- The absence of edema in the lower limbs
- The presence of all peripheral pulses in the left lower limb
- The popliteal pulse is however full and very easy to palpate
- Whereas on the right, only the femoral pulse is detected
- There are no sensory or motor disturbances in the lower limbs

Finally, you detect a left iliac bruit. Which arterial lesion(s) should you suspect?";Left iliac occlusion';'Left iliac stenosis';"""Left popliteal aneurysm""";'Right iliac occlusion';'Right femoral occlusion';67
"""Regarding the murmur in mitral insufficiency, which proposition(s) is (are) correct?""";'It is a midsystolic ejection murmur.';It is most often in a jet of steam.;It may be associated with a mid-diastolic murmur.;"""It is most often located in the apico-axillary region.""";"""It radiates to the carotids.""";68
In a clinical trial, the random allocation (randomization) of the treatment being evaluated is intended to:;"""Form comparable groups in light of potential confounding factors""";Conclude that there is a difference with a statistical significance threshold of 5%.;'Mitigate sampling fluctuations';"""Maintain the subjects in ignorance of the allocated treatment for the entire duration of the study.""";Reduce the number of subjects required.;69
'The measures of association that can be estimated in a cross-sectional etiological epidemiological study include:';"""The incidence rate""";"""Odds ratio""";"""The mortality rate""";"""The prevalence""";'The etiological fraction';70
'Among the following bacterial infections, which one(s) is(are) not usually associated with leukocytosis?';Hepatic abscess with gram-negative bacillus;"""Acute pyelonephritis.""";Typhoid fever;'Pneumococcal lung infection';"""Tuberculosis""";71
Among the following parasitic diseases, which one(s) is(are) transmitted through skin contact (walking barefoot, swimming) with water or moist soil?;Amoebiasis;Taeniasis'.;Hydatidosis (echinococcosis);"""Strongyloidiasis (anguilluliasis)""";Schistosomiasis (bilharziasis);72
The descriptive medical certificate of injuries secondary to violence: (one or more correct answers);Must mention the psychological impact of the violence on the victim.;"""May be directly given to a judicial police officer if the total work incapacity exceeds eight days.""";Can be handed directly to a third party provided they furnish proof of their connection to the victim.;'Is given to the holder of parental authority if the victim is a minor';Allows for assessing the medical credibility of the victim's statements.;73
'In the absence of a statistically significant difference in the primary outcome measure between the two groups of a prospective, randomized, placebo-controlled trial, one must consider:';The risk of a Type II statistical error (beta);'The absence of treatment effect';'A lack of statistical power';"""The non-inferiority of the evaluated treatment""";The risk of a Type I statistical error (alpha);74
The combination at autopsy of a recent, bilateral, and multifocal subdural hematoma and bilateral retinal hemorrhages in a 6-month-old baby without any particular history suggests the diagnosis of: (one or more correct answers);Sudden Infant Death Syndrome;"""Shaken Baby Syndrome""";Silverman syndrome;Rupture of cerebral arteriovenous malformation;'Accidental cranial trauma';75
'The administrative section of the death certificate, either electronically or on paper, is transmitted: (one or more correct answers)';"""At the town hall of the place of death""";At the French National Institute of Health and Medical Research (INSERM);To the funeral home manager appointed by the family;"""To the public prosecutor""";"""To the family of the deceased""";76
The congenital long QT syndrome is an inherited arrhythmia disorder with autosomal dominant transmission that predisposes to sudden death from childhood and can be subject to preventive management. This pathology is very heterogeneous at the genetic level. What is (are) the correct proposition(s):;The genes involved encode for ion channels.;Long QT syndrome is most often associated with a congenital heart defect.;The genetic evaluation of this pathology is conducted through karyotype analysis.;The diagnosis in an index case should lead to informing the family members.;"""Molecular predictive diagnosis is not permitted for minors in this situation.""";77
The writing of a descriptive medical certificate requires the evaluation of ITT in the legal sense of the term. What is the meaning of this acronym?;"""Total incapacity for work""";'Temporary total incapacity';"""Total temporary incapacity""";'Total inability to work';"""Temporary total incapacity""";78
You are consulting with a pregnant woman for the 22-week morphological ultrasound. Her partner has no family history. Fetal growth is normal. She underwent a combined first-trimester screening with a calculated risk of Trisomy 21 at 1/10,000. The only notable feature is fetal bowel hyperechogenicity. What is the exact proposition(s):';"""This is a warning sign of cystic fibrosis.""";"""This is a warning sign of a viral infection.""";This sign is frequently encountered in fetuses heterozygous for a severe mutation of the CFTR gene.;'Priority is given to testing for heterozygosity in both parents.';The priority is an amniocentesis to search for mutations in the CFTR gene in the fetus.;79
'The objectives of the forensic medical management of a victim of sexual violence are: (one or more correct answers)';"""Describe traumatic bodily injuries""";"""Determine if the person was consenting at the time of the events.""";Determine if the victim's statements are credible.;Implement a multidisciplinary care approach.;'Take samples for genetic fingerprinting.';80
What are the possible therapeutic strategies in asthma and chronic obstructive pulmonary disease (COPD)? (one or more correct answers);Long-term inhaled corticosteroid therapy as monotherapy in COPD;Continuous inhaled corticosteroid therapy as monotherapy in asthma;Long-acting beta-2 agonist used as monotherapy in asthma.;Inhaled corticosteroid and long-acting inhaled beta-2 agonist combination as maintenance treatment in asthma.;'Long-acting beta-2 agonist monotherapy in COPD';81
List the potential consequence(s) of a drug interaction with a cytochrome P450 3A4 inducer.;'Graft rejection under cyclosporine';'Pregnancy while on estrogen-progestogen contraceptives';"""Ergotism in the presence of ergotamine""";"""Rhabdomyolysis in the presence of certain statins""";'Treatment failure of antiretroviral therapy';82
You receive the result of a blood electrolyte panel showing a potassium level of 6 mmol/L. What iatrogenic cause(s) can you consider?;'Long-term oral corticosteroid therapy';Angiotensin II antagonist;Mineralocorticoid receptor antagonist;'Angiotensin-converting enzyme inhibitor';'Loop diuretic';83
Regarding the antidotes for medications:;'Protamine sulfate neutralizes the anticoagulant activity of heparin.';Naloxone is a specific antagonist of morphinomimetics.;'Prothrombin factors are the antidote for clopidogrel.';N-acetylcysteine is the antidote for acetylsalicylic acid.;"""Flumazenil is an antagonist of benzodiazepines and related compounds.""";84
A 23-year-old woman is hospitalized in psychiatry for a state of psychomotor agitation that has been ongoing for a week, with disinhibition leading to reckless spending and risky sexual behavior. She has not slept for 72 hours but shows no signs of fatigue and makes efforts to introduce herself to each of the patients in the ward. If you had to choose a monotherapy, which of these options would seem indicated?;"""Lithium""";Valproic acid;"""Risperidone""";"""Carbamazepine""";"""Quetiapine""";85
Regarding the decision of a medical termination of pregnancy (MTP) (one or more correct answers):;Every request for a termination of pregnancy (IMG) must be reviewed by the multidisciplinary prenatal diagnosis center (CPDPN).;"""There is a list of pathologies for which there is a medical indication for termination of pregnancy.""";"The admissibility of the request is based on demonstrating a ""high probability of a particularly severe and incurable condition at the time of diagnosis.""";'A reflection period must be offered to the pregnant woman between the diagnosis of the condition and the eventual performance of the termination of pregnancy (TOP).';An imaging study may be performed after consultation with the perinatal care and diagnostics committee until term.;86
A 31-year-old woman describes the sudden onset, one month ago, of intense fatigue accompanied by deep sadness. She is very self-critical, particularly about not being able to care for her 2-month-old daughter, is very slowed down, and often wakes up in the middle of the night. During these times, she sometimes has suicidal thoughts. Among the following characteristics, which one(s) might indicate a bipolar mood disorder?;"""The female sex""";Postpartum context;Abrupt onset;"""Melancholic features""";"""Suicidal ideation""";87
'Among the following signs and symptoms, which one(s) is(are) more common in the case of a depressive episode in the elderly compared to young adults?';"""Somatic complaints""";"""Guilt feeling""";"""Self-depreciation""";"""Suicidal ideation""";"""Sexual disorders""";88
Among the following signs, which one(s) can be a symptom(s) due to opioid withdrawal?';"""Constipation""";"""Bilateral mydriasis""";"""Hallucinations""";"""Vomiting""";'Arterial hypertension';89
In front of a patient presenting with alcohol use disorder and opposed to the idea of addiction treatment, which attitude(s) characterize motivational interviewing?;"""Provide the patient with arguments in favor of change""";"""Allow the patient to explain what alcohol brings to them.""";"""Exposing the patient to situations at risk of excessive consumption.""";"""Identify the personal motives for change in the patient""";'Emphasize to the patient the risks associated with alcohol consumption.';90
A 69-year-old patient presents for an annual visit with their new general practitioner. The clinical examination reveals a pulse rate of 45 beats per minute. List the medication(s) that could potentially be responsible:;'Selective beta-blocker';Class III antiarrhythmic;Dihydropyridine calcium channel blocker;Anticholinesterase'.;'Short-acting beta-2 adrenergic agonist bronchodilator administered via inhalation';91
Regarding Down syndrome (one or more correct answers):;"""It most often results from a maternal meiotic accident""";"""When associated with a chromosomal formula 46,xx,der(14;21),+21, it does not require a family investigation.""";"""His postnatal diagnosis can be quickly confirmed through molecular biology.""";"""His risk of recurrence is approximately 1 in 100 to 1 in 200 for a couple who has had a first child affected.""";'Her risk is reduced by advanced maternal age at the time of conception.';92
Concerning the histological lesions of glomerulopathies (one or more correct answers):;The diagnosis of minimal glomerular lesions requires examination by electron microscopy.;'Focal segmental glomerulosclerosis can be primary in adults';Membranoproliferative glomerulopathy is characterized by double contours of the glomerular basement membrane.;"""The 'humps' deposits are present in post-infectious acute glomerulonephritis.""";Diabetes can lead to glomerulopathy.;93
'The histological diagnosis of prostatic adenocarcinoma in biopsy mapping (one or more correct responses):';"""Generally requires six biopsy samples""";'Can confirm extraprostatic extension';"""Requires a biopsy of the seminal vesicles""";The prognosis is specified by the Gleason architectural score.;It is specified in its prognosis by the proliferation index.;94
During a surgical procedure, a frozen section examination on a tissue sample is requested. The sample must be sent to the pathology laboratory (one or more correct answers):;'At +4°C';'Thermostored at -20°C';"""Immersed in formalin""";'Without fixative solution';Accompanied by a consent form.;95
'On a liver biopsy sample, the diagnosis of acute alcoholic hepatitis is supported by (one or more correct responses):';'An inflammation with neutrophilic polymorphonuclear leukocytes';'Ballooned hepatocytes';'Councilman bodies';'A cirrhosis';'A cholestasis';96
Molecular biology analyses in the context of the anatomopathological diagnosis of a tumor (one or more correct answers):;'Can be performed on tissue samples that are fixed and embedded in paraffin';"""Can be performed on unfixed tissue samples frozen at -80°C.""";"""Can be performed on liquid-based cytology smears""";"""Require a morphological examination of the tissue sample""";"""Require a signed consent from the patient""";97
Regarding Alzheimer's disease, which statement(s) is(are) correct?;"""The diagnosis is often delayed.""";"""It is a secondary dementia.""";"""Behavioral disorders often manifest at the onset of the disease.""";"""The Dubois 5-word test allows for diagnosis.""";'It progresses in episodes leading to recurrent hospitalizations.';98
Regarding the aging of organs, which statement(s) is(are) correct:;"""It is characterized by a decrease in maximal capacities.""";It is primarily due to oxidative stress.;"""This is a concept without scientific evidence.""";It is characterized by a reduction in functional reserve capacities.;"""It allows for the assessment of the individual's autonomy.""";99
'Regarding frailty syndrome, which statement(s) is(are) correct?';This is a concept without a precise definition.;'It allows for the assessment of the functional reserves of the organs.';It is associated with a risk of dependence.;"""It is associated with the risk of pressure ulcers during hospitalization.""";It is associated with an increased risk of myocardial infarction.;100
"""You are managing an 85-year-old patient in the emergency department for a cranial trauma who is on vitamin K antagonist (VKA) therapy prescribed for atrial fibrillation. The INR is at 2.9. There is a petechial finding on the brain CT scan. Among the following options, which one(s) would you consider for your therapeutic management?""";Immediate administration of prothrombin complex concentrate.;Administration of vitamin K within 4 hours;Systematic follow-up brain scan in 6 hours.;:'Discontinuation of vitamin K antagonist with bridging to therapeutic dose heparin';"""Discontinuation of vitamin K antagonist""";101
"""Which of the following criteria indicates severe malnutrition in the elderly?""";'Weight loss ≥ 10% in 1 month';Body mass index <18 kg/m²;"""Weight loss ≥ 15 kg in 6 months""";Mini Nutritional Assessment score <17;Plasma albumin level <35 g/L;102