id,question,answer_A,answer_B,answer_C,answer_D,answer_E
0,"Devant un exanthème roséoliforme fébrile de l'enfant, les principales étiologies sont (une ou plusieurs réponsesexactes):",Un exanthème subit,Un mégalérythème épidémique,Une rubéole,Une mononucléose infectieuse,Un syndrome de kawasaki
1,"A propos de l’insuffisance cardiaque, quelle(s) est (sont) la (les) proposition(s) vraie(s) ?",L’auscultation cardiaque peut mettre en évidence un éclat du b2 au foyer aortique en cas d’hypertension artériellepulmonaire,L’auscultation cardiaque peut mettre en évidence un souffle d’insuffisance mitrale liée à la dilatation de l’anneau mitral,La turgescence jugulaire constitue un signe périphérique d’insuffisance cardiaque gauche,"Les œdèmes périphériques sont mous, bleus et douloureux",Les râles crépitants ou sous-crépitants sont souvent bilatéraux
2,Quelle(s) est (sont) la (les) réponse(s) vraie(s) concernant la prise en charge des bronchectasies diffuses chez l’adulte (endehors d’un contexte de mucoviscidose) responsables d’épisodes infectieux à répétition ?,Drainage bronchique quotidien,Corticothérapie systémique,Lobectomie pulmonaire,Cure d’antibiothérapie trimestrielle systématique,Traitement anti-inflammatoire par fluoroquinolone
3,Une patiente de 58 ans  vient aux urgences de votre hôpital pour l’expectoration de deux verres de sang rouge lors d’uneffort de toux. elle n’avait jamais craché de sang. elle est sous aspirine à visée anti-agrégante pour une coronaropathie.son examen clinique est normal ; sa pression artérielle est à 132 /79 mmhg. la fréquence cardiaque est à 80/mn. laradiographie pulmonaire ne montre pas d’anomalie.donnez la ou les réponse(s) juste(s),Vous hospitalisez la patiente,Vous mettez en place un remplissage vasculaire,Vous prescrivez un agent vasoconstricteur par voie intraveineuse type telipressine,Vous prescrivez une tomodensitométrie thoracique injectée avec acquisition au temps artériel après vérificationd'absence de contre-indication,Vous rassurez la patiente et lui expliquez qu’il est normal de saigner sous anti-agrégants
4,"Un patient de 55 ans présentant un hyperlymphocytose à 25 g/l sans cytopénie vous est adressé avec un diagnostic deleucémie lymphoide chronique sur l'immunophénotypage lymphocytaire. a l’examen clinique, le patient est en excellent étatgénéral et il existe une polyadénopathie de 1,5 à 2 cm de diamètre dans toutes les aires ganglionnaires. quel examen estnécessaire à ce stade ? (une seule réponse)",Aucun,Un tep-scanner,Une échocardiographie,Un myélogramme,Une scintigraphie osseuse
5,"Un homme de 25 ans vous consulte en raison de douleurs abdominales. l'examen est normal en dehors d’une ratepalpable en fin d’inspiration. l’hémogramme montre : leucocytes 14 g/l, pnn 8 g/l, myélocytes 1 g/l, métamyélocytes 1g/l, monocytes 1 g/l, lymphocytes 3 g/l, plaquettes 510 g/l. vous suspectez une leucémie myéloïde chronique. quelsexamens biologiques prescrivez-vous pour confirmer votre hypothèse diagnostique ? (une ou plusieurs réponses possibles)",Immunophénotypage leucocytaire sur sang,Recherche de corps de jolly au frottis,Recherche du transcrit bcr-abl,Recherche d’ombres de gumprecht,Recherche d'une mutation de jak2
6,"Parmi les affirmations suivantes concernant les ostéopathies fragilisantes, laquelle (lesquelles) est (sont) exacte(s) ?",L’hyperparathyroïdie primitive touche préférentiellement l’os cortical,Le traitement de l’hypothyroïdie augmente le risque de fracture ostéoporotique,L’ostéoporose cortisonique touche principalement l’os cortical,La carence estrogénique est responsable d’une hyperactivité ostéoclastique,Le traitement par biphosphonate augmente l’activité des ostéoblastes
7,"Une femme de 50 ans arrive aux urgences pour malaise. elle n’a pas d’antécédent particulier mais décrit une fatiguerapidement apparue. l’examen clinique est normal en dehors d’un subictère conjonctival. l’hémogramme montrehémoglobine 90 g/l, hématies 2,7 t/l, hématocrite 27 %, vgm 102 fl, ccmh 33 g/dl, leucocytes 8 g/l, polynucléairesneutrophiles 5 g/l, lymphocytes 2,3 g/l, monocytes 0,7 g/l.quels examens biologiques vous semblent pertinents à prescrire en première intention ?(une ou plusieurs réponsespossibles)",Protéine c réactive (crp),Fer sérique,Electrophorèse des protides sériques,Réticulocytes,Ldh
8,"Parmi les agents infectieux suivants, le(s)quel(s) est(sont) responsable(s) d’endocardite à hémocultures négatives ?",Mycobacterium tuberculosis,Bartonella,Streptococcus pyogenes,Coxiella burnetii,Tropheryma whipplei
9,"Parmi les maladies infectieuses suivantes, la(es)quelle(s) est(sont) à déclaration obligatoire en france ?",Rubéole,Peste,Tuberculose,Légionellose,Pneumococcie invasive
10,"Chez un patient traité depuis 2 jours pour une embolie pulmonaire proximale par héparine non fractionnée, le tca ratio està 6 et l’activité anti-xa est mesurée au pic d’activité à 1,2 ui/ml, en absence de saignement, quelle(s) mesure(s) adoptez-vous immédiatement ? (une ou plusieurs réponses possibles)",Apport de vitamine k,Perfusion de culot concentré plaquettaire,Perfusion de protamine,Arrêt puis adaptation posologique,Introduction des avk
11,"Un homme de 62 ans sans antécédent médical présente un hématome profond spontané du muscle psoas . la nfsmontre une hémoglobine à 90 g/l et des plaquettes à 170 g/l. son bilan d’hémostase est le suivant : tca ratio à 2,1, tpà 78% et fibrinogène à 3,1g/l. le mélange du plasma du patient avec un plasma normal ne permet pas de corriger le tca(indice de rosner à 28 pour une normale < 15). le dosage des facteurs de la voie endogène révèle un facteur viii à 4%.quelle(s) hypothèse(s) diagnostique(s) retenez-vous ? (une ou plusieurs réponses possibles)",La présence d’un anticoagulant de type lupique,Une hémophilie a constitutionnelle,La présence d’un anticorps anti facteur viii,Une maladie de willebrand de type 1,Une hémophilie b acquise
12,"Une patiente est amenée inconsciente par les pompiers aux urgences dans les suites d’un accident de la voie publique.elle présente un polytraumatisme pour lequel sont réalisés en urgence un scanner cérébral et thoraco-abdomino-pelvien.elle présente une fracture de rate qui nécessite une intervention chirurgicale. a son arrivée, son mari vous apprend qu'elleest enceinte d’environ 8 semaines d’aménorrhée.  la dose d’irradiation reçue est de 10 mgy. quel(s) est(sont) le(s)risque(s) lié(s) à l’accident et à la prise en charge ?",Retard de développement,Malformation cérébrale,Avortement,Retard de croissance,Hématome rétro-placentaire
13,"Une patiente se présente à votre cabinet pour une consultation préconceptionnelle. elle est âgée de 32 ans, nulligeste. elleest suivie depuis un an pour une hypertension artérielle bien équilibrée sous perindopril, un comprimé par jour. ellebénéficie d’une contraception oestro-progestative qu’elle envisage d’arrêter à la fin de sa plaquette. elle pèse 81 kg  pourune taille d’1m68. elle consomme 5 cigarettes par jour mais aimerait arrêter.que prévoyez-vous à l’issue de la consultation ? (une ou plusieurs réponses exactes)",Sérologie de la rubéole,Aide au sevrage tabagique par substituts nicotiniques,Frottis cervico-utérin si ce dernier date de plus de un an,Prescription de folates à la dose de 5 mg/jour,Arrêt du traitement par perindopril et relai par un autre antihypertenseur
14,"Une femme de 28 ans consulte pour la palpation d’une tuméfaction dans le quadrant supéro-externe du sein droit. elle estinquiète car sa mère et sa tante maternelle ont eu un cancer du sein à 55 et 60 ans respectivement. a l’examen clinique,vous palpez une tuméfaction ronde et régulière de 15 mm, non adhérente aux plans profond et superficiel. il n’y a pasd’inflammation ni de rétraction cutanée en regard. aucune adénopathie suspecte n’est palpée dans les aires ganglionnairesaxillaire et sus-claviculaire.quel(s) examen(s) doit(doivent) être demandé(s) en première intention ?",Une échographie mammaire,Une radiographie pulmonaire,Un dosage du ca 15-3,Une irm mammaire,Une mammographie
15,"Une femme de 38 ans consulte 3 mois après son troisième accouchement pour une demande de contraception. elle a euune césarienne alors que ses deux premiers accouchements avaient eu lieu par voie vaginale. elle vient d’arrêterl’allaitement de son enfant car elle doit reprendre son activité professionnelle. dans ses antécédents, elle rapporte uneperforation utérine lors de la pose d’un dispositif intra utérin il y a 7 ans, une phlébite sous plâtre il y a 10 ans et untraitement par laser cervical il y a 4 ans pour une dysplasie cervicale liée à une infection à papillomavirus humain. elle nefume pas mais « vapote » de temps en temps. le dernier frottis cervico-utérin, réalisé en début de grossesse, était normal.quel(s) moyen(s) contraceptif(s) est(sont) envisageable(s) pour cette femme ?",Dispositif intra-utérin au lévonorgestrel,Dispositif intra-utérin au cuivre,Dispositif transdermique libérant du norelgestromine et de l’éthinylestradiol,Stérilisation tubaire par coelioscopie,Dispositif sous-cutané libérant de l’étonogestrel
16,Devant une suspicion de corps étranger intra-oculaire métallique quel(s) examen(s) proposez-vous en urgence ?,Un scanner orbitaire,Une irm,Une radiographie de l’orbite,Une angiographie à la fluorescéine,Une mesure de la pression intra oculaire
17,Quelle(s) est(sont) la(les) proposition(s) exacte(s) concernant l’interruption volontaire de grossesse (ivg) en france ?,Une femme sous tutelle peut demander une ivg,Une femme peut demander un anonymat complet pour la réalisation d’une ivg,La pose d’un stérilet est contre-indiquée dans les suites immédiates d’une ivg chirurgicale,Les prostaglandines ne peuvent pas être utilisées en cas de porphyrie héréditaire,Un entretien psychosocial doit systématiquement être effectué avant la réalisation de l’ivg
18,Un chalazion :,Est une infection d’un follicule pilo-sébacé des paupières,Est un granulome de résorption d’une glande de meibomius des paupières,Se traite par des corticostéroïdes en pommade,Se traite par des antibiotiques par voie générale,Peut nécessiter une incision chirurgicale
19,Quelles sont les étiologies possibles d’une baisse d’acuité visuelle associée à une rougeur oculaire (plusieurs réponsesexactes) ?,Crise de glaucome aigu par fermeture de l’angle,Uvéite antérieure,Occlusion de l’artère centrale de la rétine,Glaucome néovasculaire,Vascularite rétinienne
20,En cas de myopie (une ou plusieurs réponses exactes) :,Le système optique formé par l’œil est trop convergent,La vision de loin est meilleure que la vision de près sans correction,Les rayons lumineux focalisent en avant de la rétine,Un verre divergent peut être utilisé pour la correction,Le risque de décollement de rétine peut être augmenté
21,"Vous prenez en charge une patiente de 83 ans, bien entourée, à j2 d’une arthroplastie de genou. les drains de redon ontété retirés sans problème. elle présente un genou augmenté de volume, très œdématié et inflammatoire. la cicatrice estbelle, non inflammatoire. quelle(s) est (sont) la(les) proposition(s) exacte(s) ?",Une prise en charge en ambulatoire est possible,Les techniques d’électrothérapie pratiquées par le kinésithérapeute auront pour objectif de diminuer l’œdème,La prescription de canne anglaise pourrait être faite par le kinésithérapeute libéral après la sortie de l’hôpital,Votre prescription de kinésithérapie devra obligatoirement mentionner les techniques de kinésithérapie à employer,L’adaptation du domicile devra se faire après rédaction d’un dossier auprès de la mdph (maison départementale despersonnes handicapées)
22,"Vous prenez en charge un patient de 32 ans, informaticien, dont le tabagisme est évalué à 15 paquets/année, sansantécédent médical ou chirurgical, victime d’un accident de la route responsable d’une lésion médullaire sévère par fracturecervicale c5 ostéosynthésée par voie antérieure le 30 avril 2018. le sevrage de la ventilation mécanique ayant été difficile,il a été trachéotomisé le 21 mai 2018 après intubation orotrachéale. le sevrage a ensuite été réalisé le 29 mai. a sonarrivée, il est eupnéique. il présente une escarre du trochanter droit, stade 4 avec une perte de substance jusqu’à l’os. lefond de l’escarre est fibrineux et les sécrétions purulentes sont très abondantes sans signe cutané inflammatoire. quelle(s)est (sont) la(les) proposition(s) exacte(s) ?",La sténose trachéale est une complication de l’intubation orotrachéale prolongée,Vous privilégiez pour le traitement de cette escarre une association antiseptiques locaux et pansements secs.,La présence de cette escarre contre indique la mise au fauteuil,La lésion étant de niveau médullaire c6 vous vous attendez à une anesthésie à partir du bord latéral de l’avant-bras enposition anatomique,La demande d’affection longue durée peut être réalisée par le médecin traitant
23,Vous prescrivez une orthèse articulée de genou de série à un de vos patients atteint d’une entorse de genou. cochezle(les) principe(s) de prescription(s) juste(s) pour ce type de dispositif médical :,Il est prescrit sur une ordonnance simple,Il est prescrit sur un formulaire grand appareillage,Il est remboursé à 100% de son prix d’achat,Il peut être prescrit par tous les spécialistes,Il peut être prescrit par un kinésithérapeute
24,"Concernant le syndrome du canal carpien, quelle(s) est( sont) la( les) proposition(s) vraie(s) ?",Il est le plus souvent idiopathique,Il est plus fréquent au cours de la grossesse,L’électromyogramme est indispensable au diagnostic,Il pourra entrainer un déficit du long fléchisseur du pouce,Il pourra entrainer une abolition du réflexe stylo-radial
25,"Concernant l’arthrose du genou, quelle(s) est(sont) la(les) réponse(s) vraie(s) ?",La ponction articulaire est indispensable au diagnostic,Un genu varum prédispose à la gonarthrose fémoro-tibiale médiale,Les infiltrations par viscosupplémentation sont indiquées dans les poussées avec épanchement,L’indication chirurgicale dépend de l’importance du pincement articulaire,L’efficacité des infiltrations de corticoïdes est limitée dans le temps
26,"Un ancien garagiste de 78 ans vient consulter pour des lombalgies inflammatoires fébriles importantes apparues depuis 10jours. vous suspectez une spondylodiscite et vous décidez de lui prescrire une irm lombaire. ce patient est porteur d’uneprothèse totale de hanche mise en place il y a 8 ans et d’une prothèse valvulaire depuis 2 ans. il a bénéficié de la posed’un stent coronaire il y a 3 mois. il présente un débit de filtration glomérulaire à 48 ml/ mn. lors de l’interrogatoire, il voussignale qu’il a reçu des éclats métalliques dans l’œil droit et dans la joue droite il y a 40 ans. quelle (s) proposition(s)contre-indique(nt) l’irm injectée ?",Les éclats métalliques dans l’œil,La prothèse de hanche,La prothèse valvulaire,Le stent coronaire,La fonction rénale
27,"En cas de paralysie du nerf oculo-moteur (iii), vous pouvez rencontrer à l’examen ?",Un défaut d’élévation de l’œil,Un myosis,Un défaut d’adduction de l’œil,Une exophtalmie,Un ptosis
28,"Un patient de 62 ans a comme antécédents une hypertension artérielle essentielle traitée en monothérapie depuis 2 ans etun tabagisme actif (45 paquets-année). depuis environ deux semaines, il se plaint de céphalées quotidiennes quis’installent volontiers en deuxième partie de nuit. au début, elles s’estompaient progressivement en cours de matinée.depuis environ 3 jours, elles sont constantes. ces céphalées sont décrites comme diffuses en casque, sont fluctuantes enintensité, sont accentuées par l’activité physique. il se plaint également d’une inappétence et de nausées elles aussid’évolution progressive. le patient est apyrétique.quel syndrome évoquez-vous devant ce tableau ?",État de mal migraineux,Céphalées chroniques quotidiennes,Syndrome méningé d’origine infectieuse,Hypertension intracrânienne,Syndrome méningé en lien avec une hémorragie sous-arachnoïdienne
29,"Un patient de 59 ans a vu apparaître un tremblement des trois derniers doigts de la main droite que son entourage aégalement remarqué à la marche. il balance moins le membre supérieur droit à la marche. a l’examen, vous constatez quele tremblement disparaît les bras tendus. vous percevez que la mobilisation passive du coude droit est plus difficile et quela mobilisation de l’épaule droite est douloureuse. les réflexes ostéo-tendineux sont normaux.ce type de tremblement est probablement aggravé par :",L’émotion,Le calcul mental,L’écriture,Le mouvement,Le sommeil
30,"Parmi les propositions suivantes, quelle(s) est (sont) celle(s) qui s’applique(nt) à une vessie neurologique centrale ?",Le,Hypoactivité détrusorienne,Incontinence,Risque de reflux urétéro-vésical,Basses pressions intravésicales
31,"Parmi les aliments suivants, le(s)quel(s) contiennent plus de 5% de glucides ?",Lentilles,Haricots verts,Viande,Fromage,Fruits
32,"Parmi les signes biologiques suivants, lequel(lesquels) vous oriente(nt) vers une insuffisance surrénale iatrogène chez unpatient de 38 ans aux antécédents de maladie de crohn traitée pendant 5 ans par 10 mg/ jour de prednisone ?",Natrémie à 128 mmol/l,"Kaliémie à 5,8 mmol/l",Glycémie à jeun à 3 mmol/l,Acth plasmatique à 8 heures à 585 pg/ml (n : 10 – 20),Cortisol libre urinaire à 25 µg/24 heures (n: < 90)
33,"Vous voyez en consultation un nouveau-né de 15 jours qui présente une fièvre isolée à 38,2°c et un état général conservé",Vous rassurez les parents quant à la nature bénigne de cette fièvre en période d’épidémies virales,Le test de grippe n’est pas informatif à cet âge,La bandelette urinaire n’est pas informative à cet âge,La réalisation d’un examen cyto bactériologique des urines est systématique,La réalisation d’une ponction lombaire est systématique
34,"Devant une lésion de la langue, quel(s) est(sont) le(s) signe(s) clinique(s) qui orientera (orienteront) vers une originemaligne ?",Lésion indurée,Lésion douloureuse,Saignement au contact lors de la palpation de la lésion,Induration sous muqueuse,Présence d’une leucoplasie associée
35,Vous intervenez au domicile d’un nourrisson trouvé décédé par ses parents il y a quelques minutes :,Vous demandez à être accompagné par la police,Vous ne devez pas signer le certificat de décès avant l’admission à l’hôpital,Vous rédigez un signalement au procureur de la république,Vous proposez aux parents de réaliser une autopsie à la recherche des causes du décès,Le transfert du corps doit se faire vers un institut médico-légal
36,Vous expliquez à de jeunes parents dont l’enfant présente un premier épisode fébrile la ou lesmesure(s) à prendre pendant cet épisode.,Le traitement médicamenteux s'impose pour toute température supérieure à 39°c,La prise de boisson est nécessaire toutes les heures tant que la fièvre persiste,Il faut utiliser des enveloppements frais si l'enfant est inconfortable,L'utilisation d’ibuprofene n'est possible qu'après 3 mois,Il faut garder l’enfant hors des collectivités pendant la durée de la fièvre
37,"Concernant les tuméfactions cervicales, quel(s) est(sont) le(s) item(s) exact(s) ?",Un kyste du tractus thyréoglosse est mobile à la déglutition,Une adénopathie sus-claviculaire droite peut être révélatrice d’un cancer génito-urinaire,Une tuméfaction superficielle rénitente localisée au bord antérieur du muscle sternocléidomastoïdien est évocatrice d’unkyste amygdaloïde,Un schwannome du plexus brachial est un diagnostic différentiel d’une adénopathie sous-mandibulaire,Un schwannome du nerf accessoire est un diagnostic différentiel d’une adénopathie spinale
38,"Concernant le phlegmon péri-amygdalien, quel(s) est(sont) le(s) item(s) exact(s) ?",L’abcès est localisé au niveau de l’espace latéro-pharyngé,Il peut exister un trismus,Le pilier antérieur du voile du palais est élargi,"Chez l’adulte, l’hospitalisation est systématique",Le drainage de l’abcès se fait soit par ponction soit par incision sous anesthésie générale
39,"Concernant le vertige positionnel paroxystique bénin, quel(s) est(sont) le(s) item(s) exact(s) ?",Il est d’une durée inférieure à une minute,Il est consécutif à une ischémie vestibulaire,Il se traite par de la kinésithérapie vestibulaire,Il est associé à des acouphènes,Il existe un facteur positionnel déclenchant
40,"Un patient de 32 ans consulte aux urgences pour asthénie. il n’ y a pas d’autre anomalie à l’examen clinique. on constateaux examens biologiques une augmentation des transaminases avec asat=1362 ui (n<40), alat=2348 ui (n<40). quelle(s) est (sont) la (les) cause(s) possible(s) à cette augmentation des transaminases?",Hépatite virale aigue,Hépatite alcoolique aigue,Hépatite médicamenteuse,Hépatite auto-immune,Hépatite liée à la prise de cannabis
41,"Un patient de 62 ans présente une hyponatrémie d’apparition progressive. il parait euvolémique cliniquement.son bilan biologique sanguin est le suivant : na 125 mmol/l, k 4 mmol/l, chlore 110 mmol/l, hco3- 25 mmol/l, glycémie 5mmol/l, protides 67 g/l, urée 4 mmol/l, créatininémie 78 µmol/l.bilan urinaire : na 100 mmol/l, k 25 mmol/l, urée 350 mmol/l, créatinine 8 mmol/l.quelle(s) est (sont) la (les) cause(s) possible(s) de ce tableau biologique ? (une ou plusieurs bonnes réponses) ?",Tea and toast syndrome,Prise de furosémide,Syndrome de sécrétion inappropriée d’adh,Prise d'amlodipine,Prise de lithium
42,"Un patient de 86 ans est hospitalisé pour hématémèse. il est connu pour avoir une hépatite virale b, non suivie. sa familledécrit un vomissement sanglant équivalent en volume à celui d'une bassine.a l’examen, il présente une ascite et un asterixis. la pression artérielle systolique est à 55 mmhg. parmi les éléments suivants, le(s)quel(s) est (sont) associé(s) à un mauvais pronostic ?",Age,Volume de l’hématémèse,Pression artérielle,Présence d’une encéphalopathie hépatique,Présence d’une ascite
43,"Un patient de 62 ans présente le bilan biologique suivant : na 142 mmol/l, k 5,7 mmol/l, chlore 110 mmol/l, hco3- 18mmol/l, protides 88 g/l, urée 20 mmol/l, créatininémie 170 µmol/l. quel(s) médicament(s) peut (peuvent) donner ce tableaubiologique ? (une ou plusieurs bonnes réponses)",Ibuprofène,Candesartan,Amiloride,Amlodipine,Prednisone
44,"Vous prenez en charge aux urgences une patiente de 67 ans dont le motif d'entrée est une douleur du mollet droit.l'interrogatoire et l'examen clinique retrouvent un cancer évolutif en cours de traitement et une sensibilité localisée le longdu réseau veineux profond à droite. le reste de l'examen est sans particularité.vous utilisez un modèle de prédiction clinique simplifié de thrombose veineuse profonde  (tvp) qui indique une probabilitéde tvp de 17%.vous demandez un échodoppler veineux des membres inférieurs pour confirmer cette suscpicion de tvp.parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ?",La probabilité post-test de tvp dépend de la sensibilité de l'échodoppler veineux.,La probabilité pré-test de tvp dépend de la spécificité de l'échodoppler veineux.,La probabilité post-test de tvp dépend du rapport de vraisemblance de l'échodoppler veineux.,La probabilité post-test de tvp dépend des performances intrinséques de l'échodoppler veineux.,La probabilité post-test de tvp peut être déterminée graphiquement en utilisant le nomogramme de fagan.
45,Un patient de 43 ans consulte pour une hyperferritinémie modérée à 2 fois la normale découverte surun bilan systématique réalisé par la médecine du travail. il est asymptomatique. quel(s) élément(s) orientera(ont) vers une hépatosidérose métabolique ?,Coefficient de saturation de la transferrine élevé,Surpoids,Hypertriglycéridémie,Maladie de basedow,Antécédent de cancer colique
46,Devant une diverticulite sigmoïdienne un examen tomodensitométrique abdomino-pelvien injecté estréalisé. il peut montrer (une ou plusieures réponses exactes) :,Des images d’addition contenant de l’air au bord anti-mésentérique du côlon,Un amincissement de la paroi colique,Une infiltration de la graisse autour d’un diverticule,Un épaississement de la paroi colique,Une pyléphlébite
47,Dans quelle(s) situation(s) un patient bénéficie-t-il d’une exonération du ticket modérateur (sur la base des tarifs sécuritésociale) ?,Les soins aux enfants mineurs quels qu’ils soient,"Les soins, quels qu’ils soient, aux sujets bénéficiaires de l’aide médicale d’etat (ame)","Les soins, quels qu’ils soient, aux femmes enceintes à partir du 4ème mois de grossesse",La réalisation d’une mammographie chez une femme de 54 ans dans le cadre du programme national de dépistage ducancer du sein,"Les examens supplémentaires, hors prise en charge habituelle, réalisés dans le cadre de la participation à un essairandomisé"
48,"Un patient de 48 ans présente depuis quelques semaines des céphalées qui conduisent à diagnostiquer une hypertensionartérielle. la moyenne de ses pressions artérielles en ambulatoire est à 177/92 mmhg. son bilan biologique est le suivant :na 142 mmol/l, k 3,4 mmol/l, créatininémie 70 µmol/l, calcémie 2,5 mmol/l. diurèse des 24h : 1400 ml. ionogrammeurinaire: na=180 mmol/l, k=50 mmol/l, protéinurie <0,01g/l. au vu de ce bilan, quel(s) est (sont) le(s) cause(s) que vousdevez évoquer pour cette hypertension artérielle ?",Sténose artérielle rénale,Syndrome de gitelman,Hyperaldostéronisme primaire,Consommation chronique de réglisse,Phéochromocytome
